"","time","confirm","dead"
"1",2019-12-22,1,NA
"2",2019-12-23,0,NA
"3",2019-12-24,1,NA
"4",2019-12-25,0,NA
"5",2019-12-26,0,NA
"6",2019-12-27,1,NA
"7",2019-12-28,0,NA
"8",2019-12-29,2,NA
"9",2019-12-30,1,NA
"10",2019-12-31,1,NA
"11",2020-01-01,0,NA
"12",2020-01-02,2,NA
"13",2020-01-03,7,NA
"14",2020-01-04,7,NA
"15",2020-01-05,5,NA
"16",2020-01-06,7,NA
"17",2020-01-07,0,NA
"18",2020-01-08,6,NA
"19",2020-01-09,1,NA
"20",2020-01-10,5,NA
"21",2020-01-11,3,NA
"22",2020-01-12,8,NA
"23",2020-01-13,7,NA
"24",2020-01-14,3,NA
"25",2020-01-15,14,NA
"26",2020-01-16,8,NA
"27",2020-01-17,15,NA
"49",2020-01-18,59,1
"51",2020-01-19,77,0
"59",2020-01-20,60,3
"89",2020-01-21,107,3
"151",2020-01-22,60,8
"263",2020-01-23,70,6
"448",2020-01-24,77,15
"679",2020-01-25,46,7
"964",2020-01-26,80,18
"1284",2020-01-27,892,22
"1624",2020-01-28,315,19
"1985",2020-01-29,356,25
"2359",2020-01-30,378,30
"2748",2020-01-31,576,33
"3147",2020-02-01,894,32
"3546",2020-02-02,1033,41
"3959",2020-02-03,1242,48
"4367",2020-02-04,1967,49
"4760",2020-02-05,1766,52
"5205",2020-02-06,1501,64
"5663",2020-02-07,1985,67
"5902",2020-02-08,1379,63
"6609",2020-02-09,1920,73
"6610",2020-02-10,1552,67
"7035",2020-02-11,1104,72
"7881",2020-02-12,13436,216
"8304",2020-02-13,2997,88
"8624",2020-02-14,1923,-1
"9048",2020-02-15,1548,110
"9329",2020-02-16,1690,76
"10002",2020-02-17,1600,72
"10004",2020-02-18,1660,116
"10640",2020-02-19,615,88
"11099",2020-02-20,319,99
"11595",2020-02-21,0,0
"12077",2020-02-22,314,90
"12557",2020-02-23,541,82
"13038",2020-02-24,406,131
"13517",2020-02-25,464,56
"13995",2020-02-26,370,42
"14475",2020-02-27,383,19
"14863",2020-02-28,313,28
"15342",2020-02-29,420,37
"15819",2020-03-01,565,26
"16297",2020-03-02,193,32
"16777",2020-03-03,111,25
"17255",2020-03-04,114,30
"17733",2020-03-05,131,23
"18214",2020-03-06,126,23
"18692",2020-03-07,74,21
"19172",2020-03-08,41,21
"19652",2020-03-09,36,19
"20132",2020-03-10,17,15
"20616",2020-03-11,13,19
"21097",2020-03-12,8,7
"21577",2020-03-13,5,6
"22056",2020-03-14,4,10
"22534",2020-03-15,4,10
"23013",2020-03-16,4,13
"23496",2020-03-17,1,11
"23980",2020-03-18,1,10
