"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",FALSE,768064,"POTUS44",2017-01-20 14:13:35,FALSE,"822446334787600385","822446982648201216","1536791610","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",306053,FALSE,FALSE,NA,NA
"2","As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",FALSE,198278,"POTUS44",2017-01-20 14:11:01,FALSE,"822446040729157632","822446334787600385","1536791610","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",51894,FALSE,FALSE,NA,NA
"3","I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",FALSE,561865,"POTUS44",2017-01-20 14:09:51,FALSE,"822445882247413761","822446040729157632","1536791610","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",190476,FALSE,FALSE,NA,NA
"4","It's been the honor of my life to serve you. You made me a better leader and a better man.",FALSE,1503492,NA,2017-01-20 14:09:13,FALSE,NA,"822445882247413761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",550519,FALSE,FALSE,NA,NA
"5","Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de… https://t.co/vZLJa9SweM",FALSE,213427,NA,2017-01-19 20:39:46,TRUE,NA,"822181779217981441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",60481,FALSE,FALSE,NA,NA
"6","To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle… https://t.co/cFWec1RQN0",FALSE,1089149,NA,2017-01-17 14:59:24,TRUE,NA,"821371347012087808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",306785,FALSE,FALSE,NA,NA
"7","From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",FALSE,88233,NA,2017-01-17 00:10:24,FALSE,NA,"821147626422800386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",15398,FALSE,FALSE,NA,NA
"8","In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",FALSE,62855,"POTUS44",2017-01-16 19:50:31,FALSE,"821081947728412672","821082223910780928","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",10306,FALSE,FALSE,NA,NA
"9","Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",FALSE,198867,NA,2017-01-16 19:49:25,FALSE,NA,"821081947728412672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",61711,FALSE,FALSE,NA,NA
"10","That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",FALSE,164315,NA,2017-01-12 23:57:07,FALSE,NA,"819694728665006080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",40457,FALSE,FALSE,NA,NA
