"time","confirm","dead","date"
2019.97535934292,1,NA,2019-12-22
2019.9780971937,0,NA,2019-12-23
2019.98083504449,1,NA,2019-12-24
2019.98357289528,0,NA,2019-12-25
2019.98631074606,0,NA,2019-12-26
2019.98904859685,1,NA,2019-12-27
2019.99178644764,0,NA,2019-12-28
2019.99452429843,2,NA,2019-12-29
2019.99726214921,1,NA,2019-12-30
2020,1,NA,2019-12-31
2020.00273785079,0,NA,2020-01-01
2020.00547570157,2,NA,2020-01-02
2020.00821355236,7,NA,2020-01-03
2020.01095140315,7,NA,2020-01-04
2020.01368925394,5,NA,2020-01-05
2020.01642710472,7,NA,2020-01-06
2020.01916495551,0,NA,2020-01-07
2020.0219028063,6,NA,2020-01-08
2020.02464065708,1,NA,2020-01-09
2020.02737850787,5,NA,2020-01-10
2020.03011635866,3,NA,2020-01-11
2020.03285420945,8,NA,2020-01-12
2020.03559206023,7,NA,2020-01-13
2020.03832991102,3,NA,2020-01-14
2020.04106776181,14,NA,2020-01-15
2020.04380561259,8,NA,2020-01-16
2020.04654346338,15,NA,2020-01-17
2020.04928131417,59,1,2020-01-18
2020.05201916496,77,1,2020-01-19
2020.05475701574,60,2,2020-01-20
2020.05749486653,107,3,2020-01-21
2020.06023271732,60,8,2020-01-22
2020.0629705681,70,6,2020-01-23
2020.06570841889,77,15,2020-01-24
2020.04928131417,59,1,2020-01-18
2020.05201916496,77,0,2020-01-19
2020.05475701574,60,3,2020-01-20
2020.05749486653,107,3,2020-01-21
2020.06023271732,60,8,2020-01-22
2020.0629705681,70,-17,2020-01-23
2020.06570841889,77,38,2020-01-24
2020.06844626968,46,7,2020-01-25
2020.07118412047,80,18,2020-01-26
2020.07392197125,892,22,2020-01-27
2020.07665982204,315,19,2020-01-28
2020.07939767283,356,25,2020-01-29
2020.08213552361,378,30,2020-01-30
2020.0848733744,576,33,2020-01-31
2020.08761122519,894,32,2020-02-01
2020.09034907598,1033,41,2020-02-02
2020.09308692676,1242,48,2020-02-03
2020.09582477755,1967,49,2020-02-04
2020.09856262834,1766,52,2020-02-05
2020.10130047912,1501,64,2020-02-06
2020.10403832991,1985,67,2020-02-07
2020.1067761807,1379,63,2020-02-08
2020.10951403149,1920,73,2020-02-09
2020.11225188227,1552,67,2020-02-10
2020.11498973306,1104,72,2020-02-11
2020.11772758385,13436,216,2020-02-12
2020.12046543463,2997,88,2020-02-13
2020.12320328542,1923,-1,2020-02-14
2020.12594113621,1548,110,2020-02-15
2020.128678987,1690,76,2020-02-16
2020.13141683778,1600,72,2020-02-17
2020.13415468857,1660,116,2020-02-18
2020.13689253936,615,88,2020-02-19
2020.13963039014,319,99,2020-02-20
2020.14236824093,0,0,2020-02-21
2020.14510609172,314,90,2020-02-22
2020.14784394251,541,82,2020-02-23
2020.15058179329,406,131,2020-02-24
2020.15331964408,464,56,2020-02-25
2020.15605749487,370,42,2020-02-26
2020.15879534565,383,19,2020-02-27
2020.16153319644,313,28,2020-02-28
2020.16427104723,420,37,2020-02-29
2020.16700889801,565,26,2020-03-01
2020.1697467488,193,32,2020-03-02
2020.17248459959,111,25,2020-03-03
2020.17522245038,114,30,2020-03-04
2020.17796030116,131,23,2020-03-05
2020.18069815195,126,23,2020-03-06
2020.18343600274,74,21,2020-03-07
2020.18617385352,41,21,2020-03-08
2020.18891170431,36,19,2020-03-09
