"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Yes #ImWithHer #StillWithHer 
Yes Team #BidenHarris Yes #KHive 
#WeDidIt! WE DID IT!<U+0001F60D><U+0001F1FA><U+0001F1F8><U+0001F387><U+0001F495><U+0001F972><U+0001F973>
#YesWeCan <U+270A><U+270A><U+270A><U+270A><U+270A><U+2696><U+FE0F><U+0001F5FD><U+0001F1FA><U+0001F1F8><U+270A>… https://t.co/cQY531oTQn",FALSE,0,"PinkPurpleBlu12",2021-01-28 03:40:11,TRUE,"1352452005160120328","1354635358353297412","1145610692814180352","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PinkPurpleBlu12",2,FALSE,FALSE,NA,NA
"2","@AriBerman If we got #TraitorTrump OUT, I'm pretty sure we can get #DCStatehood to be the 51st state, is way overdue #yeswecan",FALSE,0,"AriBerman",2021-01-28 03:28:26,FALSE,"1354467066330439680","1354632400018558978","15952856","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BlueVotesMatter",0,FALSE,FALSE,NA,NA
"3","Setting the positive agenda @KamalaHarris @VP . Way to go to enthuse people &amp; confidence . Setting templates of gov… https://t.co/RAxgbNGvwb",FALSE,31,NA,2021-01-28 02:22:43,TRUE,NA,"1354615859579219970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chatty111Prasad",3,FALSE,FALSE,NA,NA
"4","Congratulations to our December Top Performers <U+0001F389><U+0001F973><U+0001F31F><U+0001F388> keep it up team<U+0001F483><U+0001F57A> <U+2728>

#YesWeCan <U+0001F4AA> https://t.co/UvMCimJCVs",FALSE,0,NA,2021-01-28 00:41:19,FALSE,NA,"1354590344076271616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DtvGt",1,FALSE,FALSE,NA,NA
"5","Let's share some love and make a child happy <U+0001F90D><U+0001F388>

You can donate by clicking the below link or go to Connect APP for… https://t.co/SB0jpgKKgq",FALSE,0,NA,2021-01-27 22:53:59,TRUE,NA,"1354563332838199296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DtvGt",0,FALSE,FALSE,NA,NA
"6","Zwerfinator raapte de afgelopen 4 jaar 41.756 blikjes in 1823,5 km. Het aantal nam niet af met 70%, maar nam zelfs… https://t.co/OJzmZtkKqr",FALSE,23,NA,2021-01-27 21:21:17,TRUE,NA,"1354540004261978113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zwerfinator",17,FALSE,FALSE,NA,NA
"7","Please remember the deadline for this week’s Interhouse challenge is Thursday at 3:30, so less than 24 hours to go!… https://t.co/WDJWl8NoVE",FALSE,0,NA,2021-01-27 20:52:46,TRUE,NA,"1354532826713092102",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElchoPHS",0,FALSE,FALSE,NA,NA
"8","We need more queer representation at Raytheon Technologies #yeswecan #StockMarket",FALSE,1,NA,2021-01-27 20:25:31,FALSE,NA,"1354525968136876032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aidansfacebook",0,FALSE,FALSE,NA,NA
"9","At @NorthwayPrimary we continue to offer a broad and balanced curriculum during #remotelearning ! How creative are… https://t.co/zRjj7HnM1j",FALSE,3,NA,2021-01-27 20:24:46,TRUE,NA,"1354525779003138056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Y3_Northway",0,FALSE,FALSE,NA,NA
"10","We need more BIPOC representation in the department of defense #yeswecan",FALSE,1,NA,2021-01-27 20:23:54,FALSE,NA,"1354525561893359623",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aidansfacebook",0,FALSE,FALSE,NA,NA
"11","Year 3 are facing Remote Learning with extreme effort! All our Ancient Greece learning has been remote and look at… https://t.co/YIGrsuScLW",FALSE,7,NA,2021-01-27 20:07:47,TRUE,NA,"1354521504541716482",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Y3_Northway",3,FALSE,FALSE,NA,NA
"12","#PeaceOfMind #PeaceAndLove #LifeGoesOn #Keepwriting #Cadillacmichigan #Traversecitymichigan #writerscommunity… https://t.co/q3XFjihUgP",FALSE,0,NA,2021-01-27 19:41:05,TRUE,NA,"1354514787523301379",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hopemadonna",0,FALSE,FALSE,NA,NA
"13","@MarshaBlackburn @POTUS YES HE CAN hmmmm heard that somewhere #YESWECAN",FALSE,0,"MarshaBlackburn",2021-01-27 19:40:35,FALSE,"1354214265675272193","1354514659634794506","278145569","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jrisgr88",0,FALSE,FALSE,NA,NA
"14","Even lezen: 10 resultaten van rivierafvalonderzoek en ...
@SvVeldhoven begin alstublieft snel met de aanpak van de… https://t.co/WnzVCm9wom",FALSE,4,NA,2021-01-27 19:34:40,TRUE,NA,"1354513173022437384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nsknsd",1,FALSE,FALSE,NA,NA
"15","Let's Build a Better America Together !
Mohammad Mehdi MohammadiZadeh For President <U+0001F1FA><U+0001F1F8>

#MohammadiZadehForPresident… https://t.co/kG9jSfQkBL",FALSE,0,NA,2021-01-27 19:16:12,TRUE,NA,"1354508524093665284",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealMFUS",0,FALSE,FALSE,NA,NA
"16","...Let's Build a Better America Together !
#MohammadiZadehForPresident 
#ForThePeople , #YesWeCan 
#AmericaFirst ,… https://t.co/sjihMx8Zq4",FALSE,0,"RealMFUS",2021-01-27 19:07:20,TRUE,"1354506234913808386","1354506294670094337","862603588148875264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealMFUS",0,FALSE,FALSE,NA,NA
"17","Vandaag vond Zwerfinator 160 #zwerfie-drankverpakkingen in 3,2 km. 63 procent hiervan waren blikjes. Daarom is hij… https://t.co/eE4gUSY27l",FALSE,19,NA,2021-01-27 18:43:54,TRUE,NA,"1354500394618126336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zwerfinator",13,FALSE,FALSE,NA,NA
"18","#BlackLivesMatter #KHive #DemVoice1 #YesWeCan! 
Willful #VoteSuppression on social media is now a crime!
Believe, h… https://t.co/RRqDH9z60m",FALSE,0,NA,2021-01-27 17:53:01,TRUE,NA,"1354487592981422081",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","freedom_memes",0,FALSE,FALSE,NA,NA
"19","@bpsobalears @CarmenRosaMS @LolaCuidados @UGCGuadiato @agsnortecordoba @PiCuida @RNAO @Investenisciii @CCEIJB Graci… https://t.co/u3xesUXwVG",FALSE,2,"bpsobalears",2021-01-27 17:16:41,TRUE,"1354383882297225222","1354478448648060932","1014057474763251713","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jesusbh",0,FALSE,FALSE,NA,NA
"20","It’s for my #momgraine headaches.... I swear #twinmom #anxietydisorders #twinmomlife #remotelearning #ADHD… https://t.co/JWagzU60eJ",FALSE,0,NA,2021-01-27 16:58:22,TRUE,NA,"1354473839032496129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FunnyJennyFTB",1,FALSE,FALSE,NA,NA
"21","@pirex70 @merely_my @Europarl_IT @vonderleyen @DavidSassoli @bartolopietro1 #Siria #Yemen #Venezuela #Libia Grazie… https://t.co/J27wFBcKdO",FALSE,0,"pirex70",2021-01-27 16:41:38,TRUE,"1354456831133970432","1354469627414380547","967819641753165824","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macTEK5",1,FALSE,FALSE,NA,NA
"22","Mamá, mamá, salimos en la tele!!<U+263A><U+FE0F>. Mostramos un ejemplo de cómo damos nuestras clases telemáticas<U+0001F469><U+0001F3FB><U+200D><U+0001F4BB> desde la EOI… https://t.co/Yi691mXD1X",FALSE,5,NA,2021-01-27 15:27:33,TRUE,NA,"1354450981476560898",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanaEOI",0,FALSE,FALSE,NA,NA
"23","@SpeakerPelosi @SenSchumer  republicans say impeachment dead on arrive? Fuck them, remove the filibuster and make p… https://t.co/lMz4HZ40T2",FALSE,0,"SpeakerPelosi",2021-01-27 15:08:04,TRUE,NA,"1354446079060664325","15764644","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fijiboi91",0,FALSE,FALSE,NA,NA
"24","#feest van genade en vergeving! Door Jezus mogen wij weer met God wandelen! #yeswecan! Hoe dit kan zie je in deze v… https://t.co/4IQ5YVN0jj",FALSE,0,NA,2021-01-27 15:01:15,TRUE,NA,"1354444362520911873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BijbellezenT",0,FALSE,FALSE,NA,NA
"25","Get your 46th VP's - "" I am all little girls &amp; They are me!"" custom t shirt before the inauguration today!! Support… https://t.co/t7vWAHt3V3",FALSE,1,NA,2021-01-27 14:52:38,TRUE,NA,"1354442194472505345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","46thvp",0,FALSE,FALSE,NA,NA
"26","Get your 46th VP's - "" I am all little girls &amp; They are me!"" custom t shirt before the inauguration today!! Support… https://t.co/NP9bueTUdj",FALSE,1,NA,2021-01-27 14:35:19,TRUE,NA,"1354437838897442824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","46thvp",0,FALSE,FALSE,NA,NA
"27","Estados Unidos necesita un cambio.
#VoteObama #YesWeCan",FALSE,51,NA,2021-01-27 14:16:50,FALSE,NA,"1354433184868552706",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","viejoUS",7,FALSE,FALSE,NA,NA
"28","What is the tweet of the decade #yeswecan, provoking 

Depends man to man",FALSE,0,NA,2021-01-27 14:11:17,FALSE,NA,"1354431788517474304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pankitlove",0,FALSE,FALSE,NA,NA
"29","#Groenkunjezelfdoen #yeswecan #statiegeldyeswecan @SvVeldhoven @Statiegeldallia @VVD @cdavandaag @Groenlinks, @SPnl… https://t.co/4Jgz30JwY0",FALSE,1,NA,2021-01-27 13:49:30,TRUE,NA,"1354426307107565571",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UitdagingDe",1,FALSE,FALSE,NA,NA
"30","Secondo me, ci sono due #SvolteNecessarie @AndreaOrlandosp: il #PianoAmaldi deve entrare fra le #priorità dell’agen… https://t.co/y5xvQHY4S7",FALSE,2,NA,2021-01-27 13:38:12,TRUE,NA,"1354423465999294464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CastigliMirella",1,FALSE,FALSE,NA,NA
"31","Het ziet er heel schoon uit hier. Maar als je dan achter het muurtje kijkt zie je waarom Zwerfinator zo hartstochte… https://t.co/0bZIELBdr6",FALSE,22,NA,2021-01-27 13:32:00,TRUE,NA,"1354421903226785793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zwerfinator",10,FALSE,FALSE,NA,NA
"32","Goed voorbeeld van stapeling van beloning. Waardoor er voor de boer een echt verdienmodel kan ontstaan!! Waardevol… https://t.co/7RnJy8SBXy",FALSE,6,NA,2021-01-27 13:25:13,TRUE,NA,"1354420194802880517",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexDatema",1,FALSE,FALSE,NA,NA
